state,value
Alabama,26.699
Alaska,28.8462
Arkansas,22.268
Arizona,23.6811
California,25.605
Colorado,30.2714
Connecticut,26.811
Delaware,37.069
Florida,26.129
Georgia,22.231
Hawaii,31.132
Iowa,27.129
Idaho,30.1887
Illinois,32.4159
Indiana,22.4837
Kansas,27.6353
Kentucky,27.5542
Louisiana,26.3305
Maine,35.333
Maryland,28.5115
Massachusetts,27.405
Michigan,26.5199
Minnesota,25.7218
Missouri,31.0298
Mississippi,26.5101
Montana,41.3953
North Carolina,27.795
North Dakota,41.875
Nebraska,32.381
New Hampshire,32.8467
New Jersey,21.0432
New Mexico,28.7625
Nevada,27.0758
New York,22.4458
Ohio,28.8153
Oklahoma,25.26
Oregon,33.0189
Pennsylvania,30.5511
Rhode Island,30.4338
South Carolina,35.5528
South Dakota,29.2308
Tennessee,23.9551
Texas,26.8767
Utah,16.1137
Virginia,26.0054
Vermont,33.8235
Washington,31.886
Wisconsin,33.3929
West Virginia,33.3333
Wyoming,34.5238
